,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
662,1400000US26075000100,"Census Tract 1, Jackson County, Michigan",62,0,0,0,29,18,0,0,44,57,0,0,56,28,13,0,15,0,0,0,0,0,0,0,0,349,87,28,24,14,0,24,0,0,150,22,0,0
666,1400000US26075001000,"Census Tract 10, Jackson County, Michigan",158,5,45,11,29,10,0,0,7,7,0,0,264,43,39,52,64,9,27,5,0,18,7,0,0,291,58,67,50,52,0,31,6,0,8,7,0,12
1827,1400000US26075001100,"Census Tract 11, Jackson County, Michigan",131,37,6,7,18,0,0,29,32,0,0,0,299,114,31,44,20,15,0,0,0,75,0,0,0,257,64,60,13,27,9,74,0,0,0,0,10,0
664,1400000US26075001200,"Census Tract 12, Jackson County, Michigan",53,0,60,0,23,14,0,10,115,0,0,0,159,33,0,7,13,8,8,0,6,60,24,0,0,154,13,0,15,30,6,10,0,34,22,24,0,0
1833,1400000US26075001300,"Census Tract 13, Jackson County, Michigan",35,40,20,0,0,3,12,8,24,0,0,0,265,56,12,76,4,0,36,0,26,36,19,0,0,242,48,33,68,14,0,15,0,0,49,15,0,0
357,1400000US26075000200,"Census Tract 2, Jackson County, Michigan",209,86,29,12,73,22,0,0,0,0,0,0,282,113,77,24,11,0,28,21,0,0,0,0,8,329,96,76,0,19,122,9,0,0,0,7,0,0
355,1400000US26075000400,"Census Tract 4, Jackson County, Michigan",32,34,0,37,7,0,0,23,79,27,0,40,476,33,18,53,19,20,93,14,52,63,26,17,68,254,15,0,47,0,9,0,34,0,87,0,33,29
361,1400000US26075000500,"Census Tract 5, Jackson County, Michigan",0,16,42,0,0,13,10,0,0,6,0,0,128,0,0,28,16,11,12,11,0,0,50,0,0,114,4,0,0,8,7,12,0,0,29,7,22,25
1836,1400000US26075005000,"Census Tract 50, Jackson County, Michigan",27,17,4,41,0,29,30,8,0,40,0,20,246,20,16,21,37,24,21,25,13,36,13,0,20,140,15,21,0,0,0,0,11,13,44,19,13,4
347,1400000US26075005100,"Census Tract 51, Jackson County, Michigan",0,21,101,0,0,10,0,0,79,41,9,31,492,42,28,214,16,65,16,0,0,35,42,8,26,485,50,46,37,16,31,9,37,30,97,88,11,33
358,1400000US26075005200,"Census Tract 52, Jackson County, Michigan",18,0,0,0,35,36,30,0,123,121,18,53,442,0,0,0,0,9,106,10,14,44,134,15,110,543,0,18,0,0,17,49,0,0,78,113,0,268
1834,1400000US26075005301,"Census Tract 53.01, Jackson County, Michigan",0,151,56,15,98,12,0,0,69,114,0,42,344,0,0,45,22,48,12,0,40,0,127,22,28,280,99,17,0,13,53,0,0,0,0,86,0,12
1835,1400000US26075005302,"Census Tract 53.02, Jackson County, Michigan",0,0,0,0,66,19,0,0,26,50,18,57,133,0,0,0,0,28,15,0,0,37,16,7,30,165,0,0,0,0,0,2,0,0,27,63,14,59
1830,1400000US26075005400,"Census Tract 54, Jackson County, Michigan",0,6,0,0,41,112,0,51,54,96,37,0,520,9,0,0,0,50,181,0,0,38,141,66,35,464,0,0,0,0,30,119,0,44,0,77,92,102
360,1400000US26075005500,"Census Tract 55, Jackson County, Michigan",35,0,0,44,0,15,0,88,78,0,40,28,285,92,0,18,31,25,14,0,56,21,0,21,7,263,19,0,4,28,23,0,19,56,77,11,19,7
1837,1400000US26075005600,"Census Tract 56, Jackson County, Michigan",20,182,58,55,0,30,0,13,80,315,31,22,527,27,129,44,0,0,61,0,12,46,149,11,48,322,0,77,0,0,28,29,0,0,37,83,13,55
1831,1400000US26075005700,"Census Tract 57, Jackson County, Michigan",0,0,0,0,0,0,7,0,17,46,10,0,88,0,0,0,0,0,10,0,15,22,18,9,14,380,21,0,65,0,0,4,0,0,85,44,3,158
1838,1400000US26075005800,"Census Tract 58, Jackson County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,1400000US26075005900,"Census Tract 59, Jackson County, Michigan",0,0,13,8,0,28,0,0,11,24,0,22,147,22,0,10,0,0,26,0,16,12,0,7,54,126,0,27,21,0,0,18,0,0,22,21,17,0
665,1400000US26075000600,"Census Tract 6, Jackson County, Michigan",0,0,0,34,0,0,0,0,0,0,5,0,37,0,13,0,17,0,0,0,0,7,0,0,0,89,38,0,9,10,0,0,0,0,32,0,0,0
354,1400000US26075006000,"Census Tract 60, Jackson County, Michigan",47,64,23,35,64,157,0,0,73,65,23,29,542,68,109,19,13,52,32,0,0,145,57,11,36,218,10,0,0,14,0,0,0,0,0,42,93,59
348,1400000US26075006100,"Census Tract 61, Jackson County, Michigan",0,22,0,150,0,12,0,0,54,0,21,26,358,0,19,33,0,13,52,0,25,76,17,43,80,555,0,0,137,16,0,86,0,0,119,103,32,62
356,1400000US26075006200,"Census Tract 62, Jackson County, Michigan",0,0,21,0,0,0,0,13,24,64,38,97,298,13,66,0,0,0,0,12,0,66,16,57,68,748,27,36,15,50,0,0,47,0,171,111,86,205
1828,1400000US26075006301,"Census Tract 63.01, Jackson County, Michigan",0,0,0,10,0,0,0,0,52,30,33,12,155,0,0,0,4,7,18,0,0,54,31,32,9,227,0,0,0,0,0,0,5,0,53,26,64,79
489,1400000US26075006303,"Census Tract 63.03, Jackson County, Michigan",2,2,10,3,15,11,34,11,129,38,36,54,301,11,16,10,4,9,38,6,3,79,69,35,21,335,28,0,5,8,13,0,14,3,112,69,54,29
490,1400000US26075006304,"Census Tract 63.04, Jackson County, Michigan",42,0,0,3,0,27,0,0,27,9,12,15,151,0,0,0,23,34,0,0,0,15,11,33,35,178,0,0,0,0,0,0,0,0,11,45,51,71
353,1400000US26075006401,"Census Tract 64.01, Jackson County, Michigan",6,0,0,4,9,6,11,32,61,37,21,30,188,0,0,0,25,33,0,0,0,40,28,18,44,285,12,0,0,71,8,30,0,11,47,23,48,35
349,1400000US26075006402,"Census Tract 64.02, Jackson County, Michigan",36,15,32,51,19,27,0,24,57,32,54,49,554,5,14,44,129,32,32,7,0,47,95,39,110,724,3,12,59,72,24,36,7,4,142,159,59,147
350,1400000US26075006500,"Census Tract 65, Jackson County, Michigan",14,24,6,36,4,2,0,5,52,136,8,25,607,11,6,82,76,4,30,0,35,88,190,31,54,520,21,4,48,53,24,14,0,8,35,140,63,110
351,1400000US26075006600,"Census Tract 66, Jackson County, Michigan",19,7,20,26,42,13,42,21,113,9,21,34,333,37,13,20,24,18,18,24,0,31,75,53,20,338,35,6,23,39,0,2,24,5,50,61,41,52
346,1400000US26075006701,"Census Tract 67.01, Jackson County, Michigan",8,32,7,0,61,0,13,0,62,56,51,55,491,9,10,9,53,28,35,21,25,83,84,51,83,275,19,0,20,0,0,8,0,0,71,52,29,76
1832,1400000US26075006702,"Census Tract 67.02, Jackson County, Michigan",93,8,0,0,0,26,0,0,79,27,8,49,203,30,0,0,10,0,23,0,0,52,33,18,37,483,35,0,9,18,25,16,0,0,145,59,65,111
352,1400000US26075006801,"Census Tract 68.01, Jackson County, Michigan",0,0,0,0,0,0,6,0,29,54,0,27,253,7,0,10,0,0,0,11,0,97,32,28,68,232,11,6,9,0,10,0,10,16,114,27,12,17
491,1400000US26075006803,"Census Tract 68.03, Jackson County, Michigan",0,0,24,0,42,29,0,6,20,7,0,15,145,29,0,18,0,0,0,0,5,50,11,0,32,188,0,0,21,0,0,0,0,6,31,19,65,46
492,1400000US26075006804,"Census Tract 68.04, Jackson County, Michigan",0,0,0,3,0,46,0,0,84,72,42,86,504,0,34,0,2,14,38,0,0,152,104,73,87,357,11,0,4,0,3,10,0,14,75,78,74,88
493,1400000US26075006900,"Census Tract 69, Jackson County, Michigan",85,38,54,17,0,26,0,0,79,0,0,15,208,52,31,23,0,0,0,8,0,64,30,0,0,205,21,9,10,67,30,0,0,0,30,38,0,0
663,1400000US26075000800,"Census Tract 8, Jackson County, Michigan",0,0,25,11,4,26,0,0,124,78,16,39,367,0,13,5,0,14,23,16,0,121,93,19,63,448,0,5,0,10,29,17,7,0,95,157,82,46
1829,1400000US26075000900,"Census Tract 9, Jackson County, Michigan",26,53,14,25,74,27,49,0,0,21,0,40,240,96,0,32,0,70,8,0,0,0,12,0,22,324,29,101,6,0,48,0,9,25,55,28,15,8
2688,1400000US26077000100,"Census Tract 1, Kalamazoo County, Michigan",117,32,104,23,41,30,0,0,35,17,0,0,265,40,26,74,26,23,37,0,0,21,14,0,4,366,28,29,83,80,52,15,6,0,63,0,0,10
2281,1400000US26077001000,"Census Tract 10, Kalamazoo County, Michigan",83,53,0,62,0,0,0,0,0,0,0,0,848,156,199,0,262,39,0,117,19,22,34,0,0,751,86,64,67,113,8,20,158,0,150,85,0,0
2277,1400000US26077001100,"Census Tract 11, Kalamazoo County, Michigan",17,45,0,4,0,0,0,0,60,11,0,10,180,10,25,5,43,23,5,26,0,18,7,9,9,85,0,4,0,0,19,0,10,6,9,4,8,25
2297,1400000US26077001200,"Census Tract 12, Kalamazoo County, Michigan",0,0,0,10,9,0,0,0,30,50,0,91,249,0,0,31,17,0,0,0,0,32,107,11,51,184,0,0,7,0,0,0,0,7,18,9,27,116
373,1400000US26077001300,"Census Tract 13, Kalamazoo County, Michigan",64,4,0,14,2,2,0,12,42,19,11,9,157,33,5,17,15,0,13,4,11,21,15,12,11,142,14,3,13,0,3,8,2,9,54,26,2,8
2690,1400000US26077001501,"Census Tract 15.01, Kalamazoo County, Michigan",78,0,11,21,0,0,0,9,24,179,55,100,340,45,35,20,8,0,0,0,8,42,93,27,62,363,9,6,15,0,0,0,0,7,118,137,16,55
2282,1400000US26077001502,"Census Tract 15.02, Kalamazoo County, Michigan",16,34,0,65,10,0,29,14,17,141,0,22,209,17,0,0,24,20,49,52,0,0,26,21,0,119,0,0,0,0,0,46,0,0,0,43,16,14
2684,1400000US26077001503,"Census Tract 15.03, Kalamazoo County, Michigan",14,27,0,28,14,0,0,14,121,52,27,39,301,12,0,164,15,0,31,0,0,39,14,13,13,251,0,0,82,0,30,16,0,12,51,40,20,0
427,1400000US26077001504,"Census Tract 15.04, Kalamazoo County, Michigan",0,0,0,5,0,0,0,0,0,0,0,7,57,10,7,0,0,0,0,0,0,0,0,17,23,32,0,0,0,0,0,0,0,0,0,0,27,5
2278,1400000US26077001506,"Census Tract 15.06, Kalamazoo County, Michigan",0,31,21,26,0,20,0,24,76,22,35,41,217,19,0,36,65,0,17,0,22,0,0,5,53,200,19,0,18,86,0,0,0,0,0,35,0,42
2283,1400000US26077001507,"Census Tract 15.07, Kalamazoo County, Michigan",45,0,115,11,0,0,0,0,45,15,0,0,262,30,0,0,46,111,0,0,0,75,0,0,0,197,0,23,73,15,86,0,0,0,0,0,0,0
2279,1400000US26077001601,"Census Tract 16.01, Kalamazoo County, Michigan",106,12,0,0,0,0,0,0,0,11,83,59,153,38,0,0,12,19,0,0,0,0,41,25,18,218,7,0,0,13,18,13,0,32,31,25,23,56
2292,1400000US26077001603,"Census Tract 16.03, Kalamazoo County, Michigan",0,0,6,26,7,0,0,7,49,13,0,23,122,15,14,7,47,0,0,0,7,24,8,0,0,102,15,18,13,10,0,19,0,0,17,10,0,0
2284,1400000US26077001604,"Census Tract 16.04, Kalamazoo County, Michigan",5,0,25,0,0,4,0,0,12,0,26,24,145,49,4,11,7,0,5,0,0,38,11,7,13,87,4,0,18,8,0,0,0,0,0,5,0,52
374,1400000US26077001701,"Census Tract 17.01, Kalamazoo County, Michigan",46,0,13,0,0,6,0,0,85,41,35,21,237,58,0,18,0,0,0,46,7,30,41,0,37,189,0,0,0,0,0,6,0,33,42,46,0,62
2293,1400000US26077001702,"Census Tract 17.02, Kalamazoo County, Michigan",11,16,28,46,0,0,0,29,69,20,9,9,216,4,28,47,0,0,0,0,53,43,8,0,33,333,11,14,37,37,8,50,12,8,29,94,22,11
375,1400000US26077001801,"Census Tract 18.01, Kalamazoo County, Michigan",16,9,19,16,0,60,0,0,59,84,108,10,186,8,50,23,14,0,19,0,0,47,0,17,8,208,31,8,24,7,0,16,10,0,36,18,32,26
424,1400000US26077001802,"Census Tract 18.02, Kalamazoo County, Michigan",21,66,20,9,0,0,10,8,69,90,68,41,511,38,31,0,19,54,0,9,9,150,74,88,39,240,18,0,0,10,36,17,9,0,80,35,28,7
2689,1400000US26077001803,"Census Tract 18.03, Kalamazoo County, Michigan",38,41,3,17,8,27,0,49,31,4,0,0,75,18,2,4,14,4,8,0,0,20,5,0,0,163,69,0,8,15,2,0,0,0,55,5,9,0
2392,1400000US26077001905,"Census Tract 19.05, Kalamazoo County, Michigan",42,12,80,60,0,0,0,0,134,72,17,0,389,0,34,0,22,16,58,0,0,39,56,28,136,484,21,34,29,22,14,29,0,18,95,85,77,60
425,1400000US26077001906,"Census Tract 19.06, Kalamazoo County, Michigan",0,0,0,0,83,0,27,65,33,68,42,23,231,0,22,66,0,3,13,25,27,30,15,6,24,323,0,0,0,16,0,55,0,22,25,124,43,38
2285,1400000US26077001907,"Census Tract 19.07, Kalamazoo County, Michigan",9,0,0,0,0,20,16,0,147,48,5,49,228,39,0,0,0,0,14,15,0,117,31,5,7,371,40,0,0,0,14,0,8,0,63,114,44,88
2280,1400000US26077000201,"Census Tract 2.01, Kalamazoo County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,8,0,0,0,0,0,58
2276,1400000US26077000202,"Census Tract 2.02, Kalamazoo County, Michigan",8,0,48,0,0,0,0,0,0,0,0,0,82,8,0,19,11,40,0,0,0,0,4,0,0,85,14,0,13,0,58,0,0,0,0,0,0,0
2393,1400000US26077002002,"Census Tract 20.02, Kalamazoo County, Michigan",0,0,0,0,8,0,54,0,34,67,37,40,198,0,0,18,0,0,0,0,0,66,31,22,61,229,0,0,18,0,0,0,8,0,56,27,42,78
2294,1400000US26077002003,"Census Tract 20.03, Kalamazoo County, Michigan",0,0,0,0,0,42,0,22,24,71,149,128,524,0,0,0,0,34,32,0,0,40,47,127,244,477,28,0,0,0,17,36,0,0,51,53,50,242
2295,1400000US26077002004,"Census Tract 20.04, Kalamazoo County, Michigan",0,0,18,0,0,0,0,0,54,29,79,134,401,0,0,16,0,8,0,0,0,58,55,50,214,348,0,0,0,0,0,0,9,0,31,67,16,225
2286,1400000US26077002005,"Census Tract 20.05, Kalamazoo County, Michigan",177,0,0,0,0,0,0,0,36,35,24,59,553,214,18,0,0,41,4,0,0,32,63,56,125,344,32,8,0,0,0,0,10,0,17,29,36,212
2685,1400000US26077002101,"Census Tract 21.01, Kalamazoo County, Michigan",0,0,35,20,0,42,9,16,71,91,59,118,762,0,0,16,15,0,66,8,83,137,203,60,174,657,7,15,20,13,0,38,7,75,83,52,164,183
2691,1400000US26077002102,"Census Tract 21.02, Kalamazoo County, Michigan",0,0,0,40,0,31,0,33,21,38,88,28,189,0,0,0,51,0,11,0,15,0,48,33,31,215,0,0,0,34,0,42,0,15,22,22,42,38
2289,1400000US26077002201,"Census Tract 22.01, Kalamazoo County, Michigan",6,0,43,22,25,10,16,3,0,0,34,0,186,0,0,20,42,24,22,25,0,32,0,15,6,142,6,0,0,26,0,19,29,15,32,10,0,5
2686,1400000US26077002202,"Census Tract 22.02, Kalamazoo County, Michigan",45,125,0,15,0,23,0,119,142,91,40,94,418,30,70,0,14,60,0,0,0,136,30,31,47,481,0,54,19,22,53,0,0,0,117,76,86,54
2683,1400000US26077002601,"Census Tract 26.01, Kalamazoo County, Michigan",35,19,4,35,4,2,0,3,45,13,42,36,269,0,8,9,39,3,2,0,5,81,23,36,63,425,41,21,18,25,0,2,27,5,81,46,19,140
2287,1400000US26077002700,"Census Tract 27, Kalamazoo County, Michigan",23,3,0,5,5,31,0,46,77,80,74,188,524,0,0,18,5,2,33,0,20,59,84,146,157,930,134,52,0,2,0,31,0,0,145,224,171,171
2273,1400000US26077002801,"Census Tract 28.01, Kalamazoo County, Michigan",16,12,30,46,0,0,0,0,97,22,74,21,454,0,22,11,0,0,0,37,0,163,9,66,146,352,0,9,11,30,0,0,0,0,86,70,52,94
2288,1400000US26077002802,"Census Tract 28.02, Kalamazoo County, Michigan",17,0,0,27,0,0,0,0,210,56,21,0,585,24,36,17,13,0,0,0,170,210,33,0,82,722,12,33,17,14,18,9,26,0,155,418,0,20
2394,1400000US26077002901,"Census Tract 29.01, Kalamazoo County, Michigan",8,0,0,0,20,24,0,0,76,21,17,5,286,7,0,0,23,42,36,0,7,103,31,24,13,275,0,0,0,23,0,39,0,0,10,29,14,160
2274,1400000US26077002903,"Census Tract 29.03, Kalamazoo County, Michigan",16,58,13,187,5,63,0,55,0,0,0,9,251,21,0,51,19,0,0,0,86,12,37,0,25,72,0,0,0,0,0,0,0,0,0,16,11,45
376,1400000US26077002904,"Census Tract 29.04, Kalamazoo County, Michigan",0,0,54,45,0,0,0,0,77,129,103,78,480,0,18,32,75,0,17,0,0,21,53,83,181,604,12,28,17,72,42,16,0,0,28,147,20,222
2272,1400000US26077002905,"Census Tract 29.05, Kalamazoo County, Michigan",68,78,0,23,210,51,0,0,145,213,46,42,420,0,0,0,205,19,0,0,21,93,32,38,12,411,0,0,0,61,0,29,0,0,106,10,0,205
2290,1400000US26077000300,"Census Tract 3, Kalamazoo County, Michigan",73,82,30,31,19,5,0,0,67,0,0,12,456,88,99,62,61,14,7,0,30,25,54,0,16,716,219,86,28,85,98,22,0,9,93,76,0,0
426,1400000US26077003002,"Census Tract 30.02, Kalamazoo County, Michigan",12,0,0,0,0,0,6,7,11,78,38,21,200,5,0,0,0,0,0,10,6,6,76,78,19,146,5,0,0,0,0,0,0,9,24,30,44,34
2395,1400000US26077003003,"Census Tract 30.03, Kalamazoo County, Michigan",24,0,0,0,0,94,0,17,163,88,34,334,936,25,0,0,0,0,10,16,17,0,180,83,605,909,9,0,51,0,0,10,16,0,89,114,131,489
2275,1400000US26077003004,"Census Tract 30.04, Kalamazoo County, Michigan",0,0,34,0,0,0,0,0,46,69,73,295,793,0,0,31,0,36,0,0,0,110,117,164,335,897,32,0,15,16,0,13,0,0,84,102,175,460
2396,1400000US26077003302,"Census Tract 33.02, Kalamazoo County, Michigan",141,0,0,0,0,0,0,0,129,85,102,24,524,54,0,0,0,18,10,0,0,152,170,22,98,349,97,0,0,0,35,23,0,0,83,38,16,57
2687,1400000US26077003400,"Census Tract 34, Kalamazoo County, Michigan",29,0,3,3,18,27,0,8,49,69,16,15,318,37,0,19,40,9,34,0,5,52,86,26,10,286,18,0,23,25,16,21,0,6,55,49,33,40
494,1400000US26077003500,"Census Tract 35, Kalamazoo County, Michigan",0,42,0,15,22,9,0,0,64,67,52,29,315,0,13,0,27,9,9,0,0,89,94,64,10,319,8,10,0,0,19,9,0,8,65,111,60,29
422,1400000US26077000500,"Census Tract 5, Kalamazoo County, Michigan",341,45,0,0,0,7,14,0,0,0,0,15,92,38,16,0,15,0,0,0,0,14,0,0,9,162,0,4,0,27,57,29,11,0,14,6,0,14
495,1400000US26077005501,"Census Tract 55.01, Kalamazoo County, Michigan",81,11,10,30,0,0,46,0,110,15,27,0,435,40,82,24,59,16,11,0,0,167,13,23,0,339,15,15,33,0,0,0,8,0,150,90,28,0
496,1400000US26077005502,"Census Tract 55.02, Kalamazoo County, Michigan",134,13,0,0,23,48,0,32,206,0,0,0,529,47,16,61,0,0,9,0,96,287,0,0,13,305,22,0,0,0,12,0,5,111,155,0,0,0
2291,1400000US26077000600,"Census Tract 6, Kalamazoo County, Michigan",0,87,0,14,0,0,0,0,109,31,0,19,168,7,41,0,35,0,0,0,0,27,58,0,0,69,28,0,0,14,0,0,27,0,0,0,0,0
497,1400000US26077006102,"Census Tract 61.02, Kalamazoo County, Michigan",0,25,0,25,6,4,0,0,35,27,23,56,204,0,0,0,31,33,5,0,3,42,29,23,38,384,15,7,0,16,12,35,0,0,119,39,63,78
498,1400000US26077006103,"Census Tract 61.03, Kalamazoo County, Michigan",5,26,0,22,17,27,7,20,126,41,28,64,467,34,35,0,4,16,93,6,0,45,25,119,90,582,26,0,37,0,0,44,13,32,115,65,178,72
499,1400000US26077006601,"Census Tract 66.01, Kalamazoo County, Michigan",26,0,17,0,15,0,0,0,49,152,27,57,400,0,0,0,0,7,0,0,0,67,74,111,141,263,6,0,15,16,0,8,0,0,34,78,25,81
500,1400000US26077006701,"Census Tract 67.01, Kalamazoo County, Michigan",39,10,8,17,24,3,0,0,33,28,7,56,259,30,0,24,15,16,0,20,11,51,6,25,61,204,28,23,11,0,11,9,16,2,46,28,21,9
501,1400000US26077006702,"Census Tract 67.02, Kalamazoo County, Michigan",33,17,27,40,0,31,0,0,61,40,86,94,595,39,8,0,44,32,39,0,0,72,37,106,218,519,76,3,0,7,20,13,0,0,48,15,44,293
423,1400000US26077000900,"Census Tract 9, Kalamazoo County, Michigan",0,20,0,35,0,0,7,0,16,0,0,5,42,9,33,0,0,0,0,0,0,0,0,0,0,52,0,33,0,0,0,0,6,0,0,13,0,0
432,1400000US26079950200,"Census Tract 9502, Kalkaska County, Michigan",26,19,16,43,0,24,22,15,43,72,41,23,289,32,19,0,13,8,71,10,13,92,16,11,4,371,50,26,32,8,3,19,19,0,49,26,27,112
433,1400000US26079950300,"Census Tract 9503, Kalkaska County, Michigan",61,5,9,21,14,0,0,0,165,18,40,15,384,34,14,41,23,77,16,0,10,73,39,26,31,498,29,5,77,22,75,17,9,16,109,71,13,55
434,1400000US26079950400,"Census Tract 9504, Kalkaska County, Michigan",2,6,19,11,15,17,4,6,32,23,4,12,296,13,15,83,14,55,27,6,6,42,15,3,17,223,27,8,12,0,33,31,7,0,69,21,9,6
502,1400000US26079950601,"Census Tract 9506.01, Kalkaska County, Michigan",6,0,3,29,10,7,5,3,9,5,14,5,124,12,6,0,9,12,12,12,0,22,23,10,6,118,12,4,0,0,15,4,6,9,28,17,5,18
503,1400000US26079950602,"Census Tract 9506.02, Kalkaska County, Michigan",14,14,0,24,3,2,0,2,23,3,19,0,86,12,4,0,0,6,5,3,13,43,0,0,0,148,15,4,8,10,0,26,0,23,42,5,3,12
2335,1400000US26081000100,"Census Tract 1, Kent County, Michigan",0,0,0,0,28,10,0,0,39,31,5,7,211,13,8,0,6,0,86,19,0,31,23,25,0,150,16,4,0,19,0,8,0,0,16,33,44,10
2342,1400000US26081001000,"Census Tract 10, Kent County, Michigan",0,61,37,74,0,0,21,12,51,30,0,11,249,0,24,64,0,0,0,20,16,29,69,9,18,272,0,0,37,0,0,132,0,10,15,15,17,46
2345,1400000US26081010101,"Census Tract 101.01, Kent County, Michigan",2,0,0,189,42,1,0,0,100,88,16,0,613,154,0,0,54,4,15,0,2,221,91,0,72,552,17,0,0,91,0,7,15,25,151,165,18,63
149,1400000US26081010102,"Census Tract 101.02, Kent County, Michigan",8,0,0,0,0,10,0,8,61,0,0,18,226,57,0,0,0,0,24,0,31,80,0,34,0,146,7,10,0,0,17,0,0,6,69,0,32,5
2766,1400000US26081010200,"Census Tract 102, Kent County, Michigan",80,30,6,0,11,16,67,0,79,38,45,20,293,9,7,15,54,11,0,37,0,131,9,20,0,439,20,69,9,64,11,0,0,0,138,25,89,14
2767,1400000US26081010301,"Census Tract 103.01, Kent County, Michigan",25,10,19,21,54,94,0,0,93,39,41,41,472,2,23,19,13,58,101,34,49,64,52,39,18,535,102,12,11,14,36,63,28,26,105,67,44,27
117,1400000US26081010302,"Census Tract 103.02, Kent County, Michigan",0,0,0,63,0,0,0,54,70,144,44,181,593,0,0,0,52,146,17,0,0,24,243,111,0,374,16,0,0,0,69,0,0,0,90,122,58,19
2346,1400000US26081010401,"Census Tract 104.01, Kent County, Michigan",58,32,30,24,0,19,0,25,134,65,29,46,537,69,12,72,0,0,86,0,0,194,51,0,53,460,35,12,21,0,22,52,14,18,156,16,53,61
2347,1400000US26081010402,"Census Tract 104.02, Kent County, Michigan",0,60,0,50,22,27,19,14,65,28,7,0,235,12,0,0,27,7,9,18,0,76,71,8,7,449,74,9,18,14,6,55,33,6,110,79,19,26
150,1400000US26081010600,"Census Tract 106, Kent County, Michigan",26,0,0,14,27,80,15,0,187,145,181,289,1202,0,0,0,58,16,45,67,14,285,199,99,419,998,14,133,82,26,0,49,19,13,142,118,70,332
136,1400000US26081010700,"Census Tract 107, Kent County, Michigan",51,0,28,0,0,26,0,0,60,136,92,130,628,17,55,65,51,0,49,0,19,119,104,51,98,437,33,23,0,74,0,22,0,21,0,82,87,95
152,1400000US26081010801,"Census Tract 108.01, Kent County, Michigan",0,34,0,0,0,0,16,0,90,106,74,219,637,31,0,13,0,0,0,32,16,238,129,87,91,1264,0,40,28,28,0,0,0,0,359,220,123,466
211,1400000US26081010802,"Census Tract 108.02, Kent County, Michigan",27,0,0,49,18,0,0,36,142,51,24,23,679,50,0,0,72,56,0,0,34,152,102,70,143,406,0,0,0,14,19,0,0,19,33,17,47,257
118,1400000US26081010902,"Census Tract 109.02, Kent County, Michigan",25,0,0,31,27,0,0,0,82,33,10,60,247,0,0,0,8,27,0,0,0,67,28,34,83,296,0,0,0,0,0,0,0,0,125,72,69,30
1571,1400000US26081010903,"Census Tract 109.03, Kent County, Michigan",0,0,0,0,0,0,19,0,28,71,144,59,425,0,0,0,0,0,0,67,0,56,67,78,157,1073,14,0,0,0,0,144,13,0,0,240,190,472
198,1400000US26081010904,"Census Tract 109.04, Kent County, Michigan",43,0,0,0,0,0,30,30,137,82,48,194,648,86,21,0,0,38,0,44,0,128,101,50,180,701,40,0,0,0,40,0,0,47,30,150,70,324
205,1400000US26081001101,"Census Tract 11.01, Kent County, Michigan",25,0,46,50,41,0,0,18,176,47,16,39,318,50,0,0,0,49,0,74,18,88,0,39,0,331,46,0,0,62,14,0,0,0,64,64,34,47
