,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
392,1400000US42003518001,"Census Tract 5180.01, Allegheny County, Pennsylvania",8,0,0,0,0,0,0,0,9,0,24,38,143,0,0,0,0,0,10,0,0,6,29,24,74,178,10,0,0,0,0,9,0,0,6,28,45,80,18,51.4,45.6,285,400,
393,1400000US42003519000,"Census Tract 5190, Allegheny County, Pennsylvania",0,0,0,0,0,61,0,0,0,25,0,75,147,0,0,0,0,0,29,0,0,0,22,41,55,184,0,0,0,0,0,26,0,0,0,59,34,65,0,137.2,84.8,270,492,
370,1400000US42003520001,"Census Tract 5200.01, Allegheny County, Pennsylvania",0,8,0,10,0,0,0,0,0,0,15,66,179,0,0,0,28,0,0,17,68,0,25,0,41,198,0,39,0,9,0,0,27,0,10,69,0,44,94,140.8,75.2,166,476,
423,1400000US42003520002,"Census Tract 5200.02, Allegheny County, Pennsylvania",13,0,10,0,0,0,0,37,20,79,0,14,82,0,0,0,0,21,0,0,0,0,61,0,0,71,0,0,0,0,0,0,38,0,33,0,0,0,33.5,166.5,112,14,326,
2568,1400000US42003521100,"Census Tract 5211, Allegheny County, Pennsylvania",53,0,0,39,18,0,17,0,70,74,10,30,235,67,29,0,0,29,0,0,0,34,13,25,38,254,48,0,0,0,0,0,0,0,17,52,20,117,259.5,189.3,111.2,240,800,
45,1400000US42003521200,"Census Tract 5212, Allegheny County, Pennsylvania",0,0,30,0,0,0,0,0,31,50,0,34,230,38,0,26,34,0,0,0,0,69,34,9,20,426,14,0,0,21,34,0,0,0,128,155,20,54,180,292.8,191.2,137,801,
424,1400000US42003521301,"Census Tract 5213.01, Allegheny County, Pennsylvania",181,0,0,0,0,0,0,0,10,0,0,38,233,48,0,19,0,0,63,0,0,0,0,47,56,166,0,37,19,0,0,0,0,0,34,39,23,14,304,114.8,31.2,178,628,
2437,1400000US42003521302,"Census Tract 5213.02, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,118,51,64,104,389,0,0,0,0,0,81,0,0,157,14,79,58,102,21,0,0,0,0,0,0,0,53,0,28,0,21,422,52,333,828,
2228,1400000US42003521401,"Census Tract 5214.01, Allegheny County, Pennsylvania",0,0,0,25,0,10,0,0,8,141,11,10,57,0,0,0,21,0,0,0,0,28,8,0,0,110,0,0,0,0,0,0,0,0,31,0,35,44,46,106.8,119.2,100,372,
371,1400000US42003521402,"Census Tract 5214.02, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,41,20,29,42,146,6,18,0,0,0,0,0,0,18,19,30,55,368,11,9,0,0,0,15,7,0,32,119,75,100,44,144.6,126.4,331,646,
2438,1400000US42003521500,"Census Tract 5215, Allegheny County, Pennsylvania",0,0,15,0,0,28,0,0,14,56,31,35,139,0,19,8,0,0,9,0,9,31,28,11,24,359,0,0,0,78,0,0,0,13,37,105,6,120,120,178.8,151.2,227,677,
90,1400000US42003522000,"Census Tract 5220, Allegheny County, Pennsylvania",69,0,12,9,56,13,0,33,20,19,0,14,289,23,0,48,27,122,6,20,0,43,0,0,0,196,11,0,48,0,22,6,0,66,43,0,0,0,347,353.8,15.2,14,730,
394,1400000US42003523100,"Census Tract 5231, Allegheny County, Pennsylvania",17,45,0,0,0,0,0,37,33,11,11,0,197,16,32,40,0,0,0,0,12,46,0,0,51,356,51,29,17,0,9,21,11,14,51,0,7,146,251.5,231.7,8.8,215,707,
2569,1400000US42003523200,"Census Tract 5232, Allegheny County, Pennsylvania",54,45,57,69,23,24,14,29,94,75,37,28,466,19,7,45,171,26,0,15,44,92,0,13,34,117,12,13,0,13,35,0,0,0,44,0,0,0,547,413,60,112,1132,
2056,1400000US42003523300,"Census Tract 5233, Allegheny County, Pennsylvania",0,0,0,17,0,46,0,11,70,25,9,20,210,0,31,0,14,0,54,0,0,63,25,18,5,341,0,30,0,14,0,80,0,7,43,50,47,70,106,394,80,169,749,
395,1400000US42003523400,"Census Tract 5234, Allegheny County, Pennsylvania",32,0,0,30,0,0,0,0,119,38,37,15,243,0,0,0,0,0,0,0,0,133,84,0,26,325,45,34,0,30,0,19,0,0,88,25,59,25,171,388.4,117.6,162,839,
91,1400000US42003523501,"Census Tract 5235.01, Allegheny County, Pennsylvania",0,0,13,13,0,0,0,30,19,72,50,0,344,0,0,0,46,108,0,0,0,48,42,95,5,335,0,0,0,25,19,0,0,0,132,11,107,41,160.5,317.5,100,298,876,
2978,1400000US42003523502,"Census Tract 5235.02, Allegheny County, Pennsylvania",15,0,0,0,64,0,5,13,11,13,0,0,110,19,0,0,0,0,8,6,0,0,0,0,77,35,8,0,0,0,0,8,9,0,6,0,0,4,74,100.6,10.4,81,266,
2058,1400000US42003523600,"Census Tract 5236, Allegheny County, Pennsylvania",28,0,0,84,0,14,0,43,0,112,0,0,368,28,61,18,0,0,0,57,0,18,78,0,108,261,63,0,0,0,0,0,0,0,35,74,0,89,282,219.8,211.2,197,910,
2439,1400000US42003523701,"Census Tract 5237.01, Allegheny County, Pennsylvania",76,9,0,88,29,0,0,19,60,0,39,37,235,22,9,0,37,15,0,0,19,50,51,0,32,247,34,0,0,32,28,3,0,9,28,18,18,77,343,237.8,55.2,203,839,
396,1400000US42003523702,"Census Tract 5237.02, Allegheny County, Pennsylvania",0,28,70,0,0,0,0,0,167,35,0,160,127,0,46,0,0,0,0,0,0,0,0,0,81,326,17,0,0,0,0,0,0,0,45,50,169,45,161,229,68,455,913,
2440,1400000US42003523800,"Census Tract 5238, Allegheny County, Pennsylvania",0,0,22,0,15,0,0,0,33,0,88,30,197,0,0,0,0,36,0,0,0,36,56,69,0,232,0,0,52,0,38,53,0,0,20,69,0,0,118.5,211.5,100,187,617,
2396,1400000US42003524000,"Census Tract 5240, Allegheny County, Pennsylvania",43,33,0,0,0,7,0,0,44,19,7,14,131,28,19,12,0,0,6,0,0,20,13,12,21,245,0,67,0,13,0,13,14,0,54,52,18,14,215,174.8,67.2,86,543,
2229,1400000US42003525100,"Census Tract 5251, Allegheny County, Pennsylvania",0,0,0,0,0,5,0,0,9,11,33,27,104,0,6,0,0,0,5,0,12,14,16,27,24,68,0,0,0,0,0,5,0,12,0,17,34,0,6,70.8,35.2,145,257,
397,1400000US42003525200,"Census Tract 5252, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,68,18,0,40,88,0,15,0,0,0,0,0,0,4,18,0,51,55,0,7,0,0,0,0,0,0,12,0,0,36,22,91.2,28.8,127,269,
398,1400000US42003525300,"Census Tract 5253, Allegheny County, Pennsylvania",7,0,5,0,0,0,0,0,32,11,4,25,171,10,0,0,0,0,0,0,0,18,39,0,104,152,0,0,0,0,0,7,0,0,11,21,10,103,22,82.2,56.8,246,407,
400,1400000US42003526101,"Census Tract 5261.01, Allegheny County, Pennsylvania",14,0,0,0,0,0,12,0,88,25,101,159,492,14,0,0,0,0,18,12,0,75,95,51,227,464,0,0,0,0,6,19,32,0,43,122,13,229,31,350.4,193.6,780,1355,
2397,1400000US42003526102,"Census Tract 5261.02, Allegheny County, Pennsylvania",0,0,0,0,18,6,0,0,13,27,27,10,128,0,0,18,0,0,0,0,0,47,40,13,10,142,0,0,0,0,7,0,0,0,26,37,20,52,30.5,125.3,83.2,132,371,
2059,1400000US42003526201,"Census Tract 5262.01, Allegheny County, Pennsylvania",0,0,22,0,0,0,0,0,101,42,91,34,363,0,0,20,0,0,15,0,0,67,33,168,60,215,0,0,11,0,0,0,0,0,29,62,63,50,53,239.4,109.6,466,868,
2060,1400000US42003526202,"Census Tract 5262.02, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,101,0,0,142,426,0,0,20,15,0,73,0,0,124,86,22,86,308,28,0,0,0,14,13,0,0,106,127,0,20,70,466.6,170.4,270,977,
401,1400000US42003526301,"Census Tract 5263.01, Allegheny County, Pennsylvania",14,0,7,0,0,0,0,49,14,26,76,12,289,0,0,11,0,11,0,0,11,19,92,100,45,266,0,0,0,0,11,0,0,10,26,51,114,54,43,173.8,135.2,401,753,
2057,1400000US42003526302,"Census Tract 5263.02, Allegheny County, Pennsylvania",0,0,0,0,23,13,0,15,52,156,61,30,280,0,0,0,0,37,0,0,0,112,96,0,35,302,19,0,0,0,11,0,0,0,93,115,48,16,54.5,393.9,293.6,190,932,
2566,1400000US42003550900,"Census Tract 5509, Allegheny County, Pennsylvania",62,33,24,19,0,0,0,44,0,10,0,13,48,20,0,6,12,0,0,0,0,0,10,0,0,41,0,14,27,0,0,0,0,0,0,0,0,0,217,48,16,13,294,
2230,1400000US42003551200,"Census Tract 5512, Allegheny County, Pennsylvania",88,0,14,0,0,29,0,0,0,0,0,0,192,99,0,14,24,0,14,0,0,16,14,11,0,290,128,41,28,0,0,39,0,0,31,12,11,0,436,134.2,20.8,22,613,
92,1400000US42003551300,"Census Tract 5513, Allegheny County, Pennsylvania",9,11,0,10,0,0,0,0,11,21,31,0,183,48,0,45,30,11,0,0,0,21,18,10,0,185,9,0,11,0,0,0,0,10,65,69,21,0,178.5,134.1,86.4,62,461,
93,1400000US42003551900,"Census Tract 5519, Allegheny County, Pennsylvania",65,38,0,0,0,0,0,0,0,15,0,0,45,0,30,15,0,0,0,0,0,0,0,0,0,85,1,76,8,0,0,0,0,0,0,0,0,0,233,3,12,0,248,
2398,1400000US42003552000,"Census Tract 5520, Allegheny County, Pennsylvania",74,17,0,0,25,0,0,0,11,10,0,0,172,95,0,31,0,0,0,0,0,46,0,0,0,181,0,0,22,0,45,18,23,0,51,22,0,0,274,190.4,25.6,0,490,
2570,1400000US42003552100,"Census Tract 5521, Allegheny County, Pennsylvania",50,34,0,8,52,0,0,0,10,0,0,0,110,10,68,0,21,11,0,0,0,0,0,0,0,119,90,3,17,0,9,0,0,0,0,0,0,0,337,46,0,0,383,
2444,1400000US42003552200,"Census Tract 5522, Allegheny County, Pennsylvania",1,0,14,0,4,0,0,0,0,0,0,8,54,9,31,0,0,0,0,0,0,14,0,0,0,65,0,15,0,0,11,0,0,0,14,0,11,14,77.5,35.5,0,33,146,
2231,1400000US42003552300,"Census Tract 5523, Allegheny County, Pennsylvania",56,7,69,37,0,0,0,10,6,0,0,0,194,29,0,65,45,0,0,7,0,21,27,0,0,178,29,39,4,14,0,6,0,0,9,22,15,40,394,68.8,39.2,55,557,
94,1400000US42003552400,"Census Tract 5524, Allegheny County, Pennsylvania",37,0,0,0,37,0,7,0,48,40,15,0,269,70,0,0,0,24,0,0,0,50,32,93,0,168,10,15,0,27,22,0,0,6,39,12,28,9,200.5,208.3,67.2,145,621,
402,1400000US42003560400,"Census Tract 5604, Allegheny County, Pennsylvania",0,22,17,0,53,0,6,0,0,13,0,9,21,0,0,16,0,0,0,0,0,0,0,5,0,32,0,0,15,0,0,0,0,0,17,0,0,0,96.5,52.1,10.4,14,173,
2571,1400000US42003560500,"Census Tract 5605, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,33,13,0,86,44,0,0,0,0,0,0,0,0,0,0,0,44,61,0,0,13,0,0,0,0,0,48,0,0,0,13,83.6,10.4,130,237,
2233,1400000US42003560600,"Census Tract 5606, Allegheny County, Pennsylvania",6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,
2918,1400000US42003561000,"Census Tract 5610, Allegheny County, Pennsylvania",20,0,38,0,28,0,0,0,14,0,0,0,139,87,0,39,0,0,0,0,0,0,13,0,0,91,20,0,0,0,0,35,0,16,20,0,0,0,218,101.6,10.4,0,330,
46,1400000US42003561100,"Census Tract 5611, Allegheny County, Pennsylvania",15,22,18,18,0,0,0,0,10,0,0,0,87,50,15,0,7,5,0,0,0,10,0,0,0,152,105,23,7,17,0,0,0,0,0,0,0,0,299.5,22.5,0,0,322,
2979,1400000US42003561200,"Census Tract 5612, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,168,97,15,0,44,6,0,0,0,6,0,0,0,191,95,14,0,44,10,0,0,0,6,22,0,0,317,24.4,17.6,0,359,
399,1400000US42003561400,"Census Tract 5614, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,58,57,0,0,190,26,0,0,47,0,0,0,84,18,0,0,15,303,25,0,0,105,0,68,0,0,37,16,52,0,203,279.6,58.4,67,608,
95,1400000US42003561500,"Census Tract 5615, Allegheny County, Pennsylvania",23,37,0,0,0,0,0,0,0,10,0,0,170,97,0,0,0,0,33,0,0,34,0,0,6,124,64,0,0,29,0,2,0,0,0,0,0,29,250,71,8,35,364,
2842,1400000US42003561600,"Census Tract 5616, Allegheny County, Pennsylvania",64,0,12,31,30,7,0,6,0,31,5,0,86,31,0,0,8,29,0,6,0,4,0,8,0,144,35,0,0,0,13,0,6,0,0,84,6,0,217,88,92,19,416,
2843,1400000US42003561700,"Census Tract 5617, Allegheny County, Pennsylvania",0,0,10,4,35,26,7,0,9,32,0,0,72,0,0,0,0,37,0,0,0,3,19,13,0,63,0,0,0,8,34,0,0,0,14,0,0,7,75,122.2,40.8,20,258,
2840,1400000US42003561900,"Census Tract 5619, Allegheny County, Pennsylvania",48,12,0,22,0,27,0,8,31,0,0,4,135,39,0,20,12,0,26,0,0,38,0,0,0,147,0,14,47,21,25,0,0,0,21,6,0,13,247.5,164.7,4.8,17,434,
2844,1400000US42003562000,"Census Tract 5620, Allegheny County, Pennsylvania",0,25,0,0,0,0,0,0,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,42,0,0,0,0,0,0,0,0,0,0,0,42,25,3.6,14.4,50,93,
2845,1400000US42003562300,"Census Tract 5623, Allegheny County, Pennsylvania",82,41,97,0,36,0,0,0,0,41,0,14,122,52,18,31,0,0,0,0,0,0,21,0,0,199,32,40,31,0,40,27,29,0,0,0,0,0,462,106.4,49.6,14,632,
2846,1400000US42003562400,"Census Tract 5624, Allegheny County, Pennsylvania",24,0,0,0,0,4,0,0,0,0,38,25,233,18,0,0,41,0,9,0,0,141,0,24,0,324,0,0,148,16,0,10,0,16,107,0,0,27,247,287,0,114,648,
2847,1400000US42003562500,"Census Tract 5625, Allegheny County, Pennsylvania",91,18,0,0,44,35,0,28,0,0,0,0,376,51,26,101,0,0,59,0,0,30,13,96,0,201,28,17,41,0,19,58,6,0,32,0,0,0,404.5,282.1,10.4,96,793,
2848,1400000US42003562600,"Census Tract 5626, Allegheny County, Pennsylvania",47,55,0,0,35,0,0,0,40,9,18,10,226,17,35,0,0,79,0,0,0,26,26,43,0,226,11,0,0,15,0,23,0,0,38,6,133,0,237,192.2,32.8,204,666,
2849,1400000US42003562700,"Census Tract 5627, Allegheny County, Pennsylvania",26,0,0,0,0,0,0,0,0,0,87,104,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,26,2.4,9.6,191,229,
2850,1400000US42003562800,"Census Tract 5628, Allegheny County, Pennsylvania",46,22,8,0,0,36,0,18,0,0,17,7,39,0,0,0,0,0,22,0,10,0,0,7,0,47,0,0,5,0,0,5,0,10,0,7,0,20,81,102.4,5.6,51,240,
2851,1400000US42003562900,"Census Tract 5629, Allegheny County, Pennsylvania",13,0,0,16,0,45,0,0,6,0,6,12,155,12,10,0,78,0,14,0,0,21,0,20,0,188,6,97,0,41,0,29,0,0,0,6,6,3,273,116.2,4.8,47,441,
2852,1400000US42003563000,"Census Tract 5630, Allegheny County, Pennsylvania",0,0,61,0,0,0,0,0,70,16,51,72,68,0,32,0,0,0,0,0,0,0,26,0,10,70,0,0,0,0,0,0,0,0,11,37,22,0,93,96.8,63.2,155,408,
2853,1400000US42003563100,"Census Tract 5631, Allegheny County, Pennsylvania",46,21,11,0,25,0,0,6,93,54,57,68,271,0,38,11,0,0,10,0,12,59,48,75,18,90,0,0,0,8,0,0,0,0,21,24,21,16,147.5,238.7,100.8,255,742,
2854,1400000US42003563200,"Census Tract 5632, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,40,44,11,0,0,0,0,0,0,0,0,0,0,33,38,27,11,0,0,0,0,0,0,0,0,0,0,49,0,0,73,122,
2855,1400000US42003563300,"Census Tract 5633, Allegheny County, Pennsylvania",0,0,3,0,0,0,0,0,0,4,0,100,93,0,0,3,0,0,0,0,0,4,8,2,76,160,0,0,0,0,2,2,0,0,8,12,9,127,7,19.8,19.2,314,360,
2856,1400000US42003563800,"Census Tract 5638, Allegheny County, Pennsylvania",0,0,1,0,14,2,0,0,25,40,41,107,196,0,6,2,0,0,0,0,0,33,42,18,95,209,3,0,0,5,0,4,0,0,40,25,28,104,24,132.4,85.6,393,635,
2857,1400000US42003563900,"Census Tract 5639, Allegheny County, Pennsylvania",11,0,0,13,0,0,0,0,38,23,34,67,260,77,0,4,10,18,0,0,0,14,63,20,54,206,0,0,0,11,25,2,10,8,60,42,31,17,147.5,179.1,102.4,223,652,
2858,1400000US42003564000,"Census Tract 5640, Allegheny County, Pennsylvania",18,0,17,25,51,45,0,0,117,51,41,139,538,0,0,0,59,43,0,0,19,40,44,58,275,499,18,7,0,0,13,5,0,24,40,63,176,153,197.5,375.1,126.4,842,1541,
2859,1400000US42003564100,"Census Tract 5641, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,7,6,14,26,62,0,0,0,0,0,0,0,0,10,3,9,40,60,4,0,0,0,0,0,0,0,7,1,10,38,4,26,8,137,175,
2860,1400000US42003564200,"Census Tract 5642, Allegheny County, Pennsylvania",2,6,0,0,5,10,2,14,5,0,0,16,139,0,7,0,0,5,10,0,2,31,46,0,38,106,0,0,0,0,0,0,0,14,12,18,32,30,20,117.8,51.2,116,305,
2861,1400000US42003564400,"Census Tract 5644, Allegheny County, Pennsylvania",28,14,0,13,0,57,14,0,99,2,28,26,248,4,11,3,28,0,70,2,11,76,17,0,26,296,14,5,6,0,0,18,3,0,38,56,102,54,126,403,60,236,825,
2862,1400000US42003564500,"Census Tract 5645, Allegheny County, Pennsylvania",25,20,0,19,14,0,0,0,42,14,59,14,184,9,22,6,38,0,19,0,28,9,0,0,53,251,0,2,9,18,0,10,7,0,40,35,93,37,175,171.8,39.2,256,642,
2094,1400000US42003060300,"Census Tract 603, Allegheny County, Pennsylvania",13,0,0,0,0,0,0,0,0,0,24,26,101,77,8,0,16,0,0,0,0,0,0,0,0,72,40,9,0,16,0,0,0,0,0,0,7,0,179,0,0,57,236,
265,1400000US42003060500,"Census Tract 605, Allegheny County, Pennsylvania",6,0,0,0,5,0,0,0,9,18,0,11,65,5,0,0,0,0,0,0,0,34,11,2,13,27,4,0,0,5,0,0,0,0,0,14,4,0,22.5,54.1,34.4,30,141,
307,1400000US42003070300,"Census Tract 703, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,11,43,62,0,0,0,0,0,0,0,0,11,0,11,40,48,0,0,0,0,0,0,0,0,11,0,0,37,0,22,0,142,164,
49,1400000US42003070500,"Census Tract 705, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,15,0,0,0,38,28,8,0,0,0,0,0,0,0,0,0,0,20,52,0,0,0,0,0,0,0,0,0,0,0,52,8,15,0,110,133,
308,1400000US42003070600,"Census Tract 706, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,34,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,19,53,
842,1400000US42003070800,"Census Tract 708, Allegheny County, Pennsylvania",12,0,0,0,0,0,0,39,12,0,0,43,23,11,0,0,0,0,0,0,0,2,0,0,10,14,0,0,0,0,0,0,0,0,2,0,0,12,23,55,0,65,143,
2065,1400000US42003070900,"Census Tract 709, Allegheny County, Pennsylvania",0,0,0,22,0,9,0,0,0,15,18,52,52,0,0,0,0,0,0,0,0,0,0,0,52,12,0,0,0,0,0,0,0,0,0,12,0,0,22,14.4,21.6,122,180,
2974,1400000US42003080200,"Census Tract 802, Allegheny County, Pennsylvania",0,0,7,0,0,6,0,0,7,7,0,0,18,5,0,6,0,0,0,0,0,7,0,0,0,58,0,0,7,31,0,0,0,7,0,0,13,0,56,28.4,5.6,13,103,
2913,1400000US42003080400,"Census Tract 804, Allegheny County, Pennsylvania",7,0,6,0,0,5,0,0,0,0,0,11,29,14,0,6,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,14,0,0,0,33,19,0,20,72,
47,1400000US42003080600,"Census Tract 806, Allegheny County, Pennsylvania",0,4,0,0,0,0,0,0,0,0,15,116,44,0,0,0,0,0,19,0,0,0,0,0,25,62,0,11,0,0,0,17,0,0,0,18,7,9,15,39.6,14.4,172,241,
2545,1400000US42003080700,"Census Tract 807, Allegheny County, Pennsylvania",19,0,0,0,0,0,0,0,0,8,0,56,49,0,0,7,0,14,0,0,0,0,8,0,20,9,0,9,0,0,0,0,0,0,0,0,0,0,42,10.2,12.8,76,141,
309,1400000US42003080900,"Census Tract 809, Allegheny County, Pennsylvania",0,0,0,7,0,0,17,0,34,9,0,12,58,0,0,0,0,0,0,5,0,17,20,0,16,14,0,0,0,0,0,0,6,0,0,0,8,0,7,84.8,23.2,36,151,
310,1400000US42003090100,"Census Tract 901, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,8,0,0,0,36,0,0,0,0,0,0,0,0,12,0,0,24,8,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,32,52,
2445,1400000US42003090200,"Census Tract 902, Allegheny County, Pennsylvania",21,0,0,17,0,0,0,0,33,34,41,32,51,0,0,0,17,0,0,0,0,29,0,0,5,20,0,0,0,0,0,0,10,0,0,0,0,10,55,78.8,27.2,88,249,
311,1400000US42003090300,"Census Tract 903, Allegheny County, Pennsylvania",0,0,0,0,6,0,45,10,0,27,0,18,11,0,0,0,0,0,0,0,11,0,0,0,0,74,0,0,0,16,0,16,0,0,22,20,0,0,19,116.4,37.6,18,191,
2863,1400000US42003980000,"Census Tract 9800, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2864,1400000US42003980100,"Census Tract 9801, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2865,1400000US42003980300,"Census Tract 9803, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2866,1400000US42003980400,"Census Tract 9804, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2867,1400000US42003980500,"Census Tract 9805, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2868,1400000US42003980600,"Census Tract 9806, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2869,1400000US42003980700,"Census Tract 9807, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2870,1400000US42003980800,"Census Tract 9808, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2871,1400000US42003980900,"Census Tract 9809, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2872,1400000US42003981000,"Census Tract 9810, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2873,1400000US42003981100,"Census Tract 9811, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2874,1400000US42003981200,"Census Tract 9812, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3015,1400000US42003981800,"Census Tract 9818, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,
3016,1400000US42003982200,"Census Tract 9822, Allegheny County, Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3017,1400000US42005950100,"Census Tract 9501, Armstrong County, Pennsylvania",33,39,6,71,0,12,38,16,62,65,22,46,292,44,21,6,50,14,11,0,6,51,54,22,13,267,6,47,0,25,28,0,3,9,57,45,30,17,369,318.8,131.2,150,969,
3014,1400000US42005950200,"Census Tract 9502, Armstrong County, Pennsylvania",25,0,3,0,13,0,0,0,39,22,16,6,146,0,0,0,18,22,2,3,0,26,46,16,13,137,0,3,3,14,11,3,6,8,33,38,5,13,89,164.2,84.8,69,407,
